Manufacture_SKU_UPC,Product_Type,Post_Status,image_logo,image_main,image_1,image_2,image_3,image_4,image_5,image_6,image_7,image_8,image_9,image_10,image_console,Commercial_Level,Category,Category_Sub,Category_Sub_Sub,Category_Sub_Sub_Sub,Manufacture,Product_Name,Pricing_Cost,Pricing_MSPR,Pricing_MAP,Pricing_Special,Pricing_Special_Start_Date,Pricing_Special_End_Date,Short_Description,Overveiw,Footprint_Length,x_1,Footprint_Width,x_2,Footprint_Height,Footprint_Active_Length,x_3,Footprint_Active_Width,x_4,Footprint_Active_Height,Footprint_UOM,Machine_Weight,Machine_Weight_UOM,Elliptical_Stride_Length_Adjustable_Stride_(Yes/No),Elliptical_Stride_Length_Min,Elliptical_Stride_Length_Max,Elliptical_Stride_Length_Adjusting_Increments,Elliptical_Stride_UOM,Elliptical_Stride_Length_Type_of_Adjusting,Elliptical_Ramp_Adjustable_(Yes/No),Elliptical_Ramp_Min_Angle,Elliptical_Ramp_Max_Angle,Elliptical_Ramp_Type_of_Adjustment,Elliptical_Ramp_#_of_Adjustments,Max_User_Weight,Max_User_Weight_,Plug-in,Elliptical_Drive_System,Resistance_Type,Resistance_Levels_Quantity,Heart_Rate_Contact,Heart_Rate_Monitoring_Wireless,Elliptical_Design_(Step_In/On)_,Elliptical_Hand_Grips_Muilti_Position,Warranty_Frame_In_Years,Warranty_Parts_In_Years,Warranty_Labor_In_Year,Warranty_Treadmill_Motor,Warranty_Restrictions,Console_Type,Console_Programs,Console_Programs_User,Console_Programs_Heart_Rate_Controled,Brochure,Manual,Treadmill_Belt_Width,Treadmill_Belt_Length,Treadmill_Belt_UOM,Treadmill_Belt_Type,Treadmill_Roller_Size,Treadmill_Roller_Size_UOM,Treadmill_Deck_Thickness,Treadmill_Deck_Phenolic_Coating,Treadmill_Deck_Need_Lubercation,Treadmill_Deck_Reversibility,Treadmill_Sidestep_Rails,Treadmill_Motor_Type,Treadmill_Motor_Horse_Power,Treadmill_Deck_Adjustable_Softness,Treadmill_Speed_Min,Treadmill_Speed_Max,Treadmill_Speed_Adjustment,Treadmill_Ramp_Incline,Treadmill_Ramp_Decline,Treadmill_Ramp_Min,Treadmill_Ramp_Max_,Treadmill_Ramp_Change_Amount,Recumbent_Bike_Design,Recumbent_Bike_Seat_Back_Adjustable,Recumbent_Bike_Seat_Back_Type,Recumbent_Bike_Seat_Back_#_of_Position,Rower_Seat_Travel,Rower_Pull_Cable,Spin_Bike_Handle_Bars_Mutiposition,Spin_Bike_Fly_Wheel_Weight,Spin_Bike_Fly_Wheel_Weight_UOM,Spin_Bike_Fly_Wheel_Primiter_Weighted,Spin_Bike_Belt_System,Gym_Weight_Stack,Gym_Weight_Stack_UOM,Shipping_Wieght,Shipping_Length,Shipping_Width,Shipping_Height,Up-Sells_SKU,Cross-Sells_SKU,Download_&_Import_Attachments,Post_Author,Post_Slug,Manage_Stock?,Stock_Qty,Stock_Status,Allow_Backorders?,Sold_Individually?,Enable_Reviews,Featured,Catalog_Visibility,Tax_Status,Tax_Class
8C_Green,simple,draft,http://www.elliptigo.com/wp-content/themes/Elliptigo/images/logo.png,http://www.hermosacyclery.com/Images/ElliptiGO_8C_Green.png,http://shop.elliptigo.com/Green_8cElliptigoBike.jpg,http://shop.elliptigo.com/core/media/media.nl?id=392637&c=1336140&h=43fafa6912d07e51f93f,http://shop.elliptigo.com/core/media/media.nl?id=560490&c=1336140&h=70f27cb191267f9e220e,http://elliptigo2015.staging.wpengine.com/wp-content/uploads/2015/09/compare-bike-arc-3c-8c-11r.png,,,,,,,,Light Commercial,Ellipticals,Elliptical Bike,,,ElliptiGO,8C Green,,"$2,499.00","$2,499.00",,,,,"The ElliptiGO 8C is the most popular elliptical bike in the world for one reason – it’s the perfect combination of price and performance. With a long stride length, running-like motion and wide gear range, the 8C is the elliptical bike of choice for everyone from professional athletes to fitness enthusiasts and recreational riders. Whether you are looking to hammer a short interval workout, ride a century or cruise the neighborhood for fun, the 8C will deliver the experience you’re seeking. For comfort, performance and price, the ElliptiGO 8C delivers the best bang for your buck.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ElliptiGO elliptical bikes will be free from manufacturing defects, including both workmanship and materials, for 5 years from the date of purchase on the frame; 2 years on the fork, drive arms, crank arms and steering column; and 1 year on all other components, paint and decals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
8C_Black,simple,draft,http://www.elliptigo.com/wp-content/themes/Elliptigo/images/logo.png,http://www.hermosacyclery.com/Images/ElliptiGO_8C_Black.png,http://shop.elliptigo.com/core/media/media.nl?id=392738&c=1336140&h=f8b91059c11f13defeed,http://shop.elliptigo.com/core/media/media.nl?id=392740&c=1336140&h=c8ab1d46b4ac2b551b91,http://shop.elliptigo.com/core/media/media.nl?id=560490&c=1336140&h=70f27cb191267f9e220e,http://elliptigo2015.staging.wpengine.com/wp-content/uploads/2015/09/compare-bike-arc-3c-8c-11r.png,,,,,,,,Light Commercial,Ellipticals,Elliptical Bike,,,ElliptiGO,8C Black,,"$2,499.00","$2,499.00",,,,,"The ElliptiGO 8C is the most popular elliptical bike in the world for one reason – it’s the perfect combination of price and performance. With a long stride length, running-like motion and wide gear range, the 8C is the elliptical bike of choice for everyone from professional athletes to fitness enthusiasts and recreational riders. Whether you are looking to hammer a short interval workout, ride a century or cruise the neighborhood for fun, the 8C will deliver the experience you’re seeking. For comfort, performance and price, the ElliptiGO 8C delivers the best bang for your buck.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ElliptiGO elliptical bikes will be free from manufacturing defects, including both workmanship and materials, for 5 years from the date of purchase on the frame; 2 years on the fork, drive arms, crank arms and steering column; and 1 year on all other components, paint and decals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
8C_Orange,simple,NLA,http://www.elliptigo.com/wp-content/themes/Elliptigo/images/logo.png,http://www.hermosacyclery.com/Images/ElliptiGO_8C_Orange.png,,,,http://elliptigo2015.staging.wpengine.com/wp-content/uploads/2015/09/compare-bike-arc-3c-8c-11r.png,,,,,,,,Light Commercial,Ellipticals,Elliptical Bike,,,ElliptiGO,8C Orange,,"$2,499.00","$2,499.00",,,,,"The ElliptiGO 8C is the most popular elliptical bike in the world for one reason – it’s the perfect combination of price and performance. With a long stride length, running-like motion and wide gear range, the 8C is the elliptical bike of choice for everyone from professional athletes to fitness enthusiasts and recreational riders. Whether you are looking to hammer a short interval workout, ride a century or cruise the neighborhood for fun, the 8C will deliver the experience you’re seeking. For comfort, performance and price, the ElliptiGO 8C delivers the best bang for your buck.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ElliptiGO elliptical bikes will be free from manufacturing defects, including both workmanship and materials, for 5 years from the date of purchase on the frame; 2 years on the fork, drive arms, crank arms and steering column; and 1 year on all other components, paint and decals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
8C_Red,simple,draft,http://www.elliptigo.com/wp-content/themes/Elliptigo/images/logo.png,http://shop.elliptigo.com/core/media/media.nl?id=392742&c=1336140&h=cb13bb5995ac369f97d3,http://shop.elliptigo.com/core/media/media.nl?id=392741&c=1336140&h=86746864db956ea99a46,http://shop.elliptigo.com/core/media/media.nl?id=392753&c=1336140&h=8d9afbaae59750aaafc2,http://shop.elliptigo.com/core/media/media.nl?id=560490&c=1336140&h=70f27cb191267f9e220e,http://elliptigo2015.staging.wpengine.com/wp-content/uploads/2015/09/compare-bike-arc-3c-8c-11r.png,,,,,,,,Light Commercial,Ellipticals,Elliptical Bike,,,ElliptiGO,8C Red,,"$2,499.00","$2,499.00",,,,,"The ElliptiGO 8C is the most popular elliptical bike in the world for one reason – it’s the perfect combination of price and performance. With a long stride length, running-like motion and wide gear range, the 8C is the elliptical bike of choice for everyone from professional athletes to fitness enthusiasts and recreational riders. Whether you are looking to hammer a short interval workout, ride a century or cruise the neighborhood for fun, the 8C will deliver the experience you’re seeking. For comfort, performance and price, the ElliptiGO 8C delivers the best bang for your buck.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ElliptiGO elliptical bikes will be free from manufacturing defects, including both workmanship and materials, for 5 years from the date of purchase on the frame; 2 years on the fork, drive arms, crank arms and steering column; and 1 year on all other components, paint and decals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
11R_Black,simple,draft,http://www.elliptigo.com/wp-content/themes/Elliptigo/images/logo.png,http://www.hermosacyclery.com/Images/ElliptiGO_11R.png,http://shop.elliptigo.com/11R_Side_ElliptigoBike.jpg,http://shop.elliptigo.com/core/media/media.nl?id=392746&c=1336140&h=b219882d2900c439d376,http://shop.elliptigo.com/core/media/media.nl?id=392747&c=1336140&h=623d8792a481d64acc47,http://shop.elliptigo.com/11R_Handlebars.png,,,,,,,,Light Commercial,Ellipticals,Elliptical Bike,,,ElliptiGO,11R Black,,"$3,499.00","$3,499.00",,,,,"For the ultimate in elliptical cycling performance, choose the ElliptiGO 11R. With carbon-fiber drive arms and 11 gears, the 11R is the lightest, smoothest and most versatile long-stride elliptical bike in the world. Whether you are tackling an epic endurance ride or hammering through a speed session, the 11R delivers the power and performance you need to succeed. Make no mistake – the 11R is one comfortable ride, but it was built to compete. Give it your all.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ElliptiGO elliptical bikes will be free from manufacturing defects, including both workmanship and materials, for 5 years from the date of purchase on the frame; 2 years on the fork, drive arms, crank arms and steering column; and 1 year on all other components, paint and decals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
LEMOND-REVMASTER/S,simple,publish,,http://lghttp.18062.nexcesscdn.net/808D64/large/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/r/e/rev-master-sport2_1.jpg,http://lghttp.18062.nexcesscdn.net/808D64/large/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/r/e/rev-master-sport1_1_1.jpg,,,,,,,,,,,Light Commercial,Bikes,Spin Bikes,,,Hoist Fitness,Sport Undiir Cycle Bike,500,"$1,099.00",$949.00,,,,,Built for use in light commercial or home settings the RevMaster Sport combines the high quality features of the original Lemond RevMaster with the traditional handlebar - making it our most affordable model. Not only does the RevMaster Sport give you a terrific workout it's fun to ride - with easy adjustments to the seat and handlebars to make your workout comfortable and effective.,42,x,23,x,46,42,x,23,x,46,in.,143,lbs.,,,,,,,,,,,,300,lbs.,Self-Powered,,Friction ,,No,Yes,,,5,3,1,,Please note. This limited Warranty applies only to the cost of repair or replacement parts normal ground shipping charges and labor providing service is provided within the warranty period and by an authorized HOIST Fitness service agent.,,,,,http://www.hoistfitness.com/content/files/salessheet/lemond_sport_salessheet_print_12.15.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Kevlar Belt,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
LEMOND-REV/P/5,simple,publish,,http://www.hoistfitness.com/content/images/equipment/REVMASTER-PRO-lrg.jpg?width=348,http://lghttp.18062.nexcesscdn.net/808D64/large/media/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/r/e/rev-master-pro2_1.jpg,,,,,,,,,,,Light Commercial,Bikes,Spin Bikes,,,Hoist Fitness,Pro Indoor Cycle Bike,700,"$1,499.00","$1,349.00",,,,,Built for use in commercial or home settings the next generation LeMond RevMaster offers you some great upgrades to the classic model. For maximum riding comfort the narrower crank design replicates the geometry of a great road bike. New Cam handles and increased adjustment ranges to seat and handlebars create the best custom fit available and gives you greater muscle involvement. The 4-way microfit also lets you cycle in an upright position or stretched out and low which is ideal for triathletes. Improved corrosion resistance by using aluminum components and a 2 piece bottom bracket cartridge make the RevMaster Pro even easier to maintain and service - with most components pre-assembled.,42,x,23,x,46,42,x,23,x,46,in.,143,lbs.,,,,,,,,,,,,300,lbs.,Self-Powered,,Corrosion Resistance,,No,Yes,,,5,3,1,,Please note. This limited Warranty applies only to the cost of repair or replacement parts normal ground shipping charges and labor providing service is provided within the warranty period and by an authorized HOIST Fitness service agent.,LCD Membrane,,,,http://www.hoistfitness.com/content/files/salessheet/lemond_pro_salessheet_print_12.15.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Kevlar Belt,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
LEMOND-GFORCE/UT/6,simple,publish,,http://www.hoistfitness.com/content/images/equipment/UT-side.jpg?width=348,,,,,,,,,,,,Light Commercial,Bikes,Upright Bikes,,,Hoist Fitness,UT Upright Bike,1200,"$2,699.00","$2,299.00",,,,,Built to deliver a better workout every component of the HOIST© LeMond Series UT has been designed to make this the most innovative indoor upright bike available. Designed with performance and comfort in mind the UT combines innovative technology with unique features allowing the rider to create a custom riding experience. Two options of ergonomically designed seats superior frame plus vertical and fore & aft handlebar and seat adjustability are among the many features that define this bike as a leader in the home fitness industry.,50,x,26,x,57-67,50,x,26,x,57-67,in.,135,lbs.,,,,,,,,,,,,350,lbs.,Self-Powered,,Generator,,Yes,Yes,,,5,3,1,,Please note. This limited Warranty applies only to the cost of repair or replacement parts normal ground shipping charges and labor providing service is provided within the warranty period and by an authorized HOIST Fitness service agent.,LCD Membrane,14,0,0,http://www.hoistfitness.com/content/files/salessheet/lemond_ut_salessheet_print_6.21.16.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
LEMOND-GFORCE/RT/5,simple,publish,,http://www.hoistfitness.com/content/images/equipment/RT_Product_Angle.jpg?width=348,,,,,,,,,,,,Light Commercial,Bikes,Recumbent Bikes,,,Hoist Fitness,RT Recumbent Bike,1300,"$2,999.00","$2,499.00",,,,,Built to deliver a better workout every component of the HOIST© LeMond Series RT has been designed to make this the most innovative indoor recumbent bike available. Designed with performance and comfort in mind the RT combines innovative technology with unique features allowing the rider to create a custom riding experience. An ergonomically designed seat superior frame and five different seat recline positions are among the many features that define this bike as a leader in the home fitness industry.,60,x,26,x,40,60,x,26,x,50,in.,201,lbs.,,,,,,,,,,,,350,lbs.,Self-Powered,,Generator,,Yes,Yes,,,5,3,1,,Please note. This limited Warranty applies only to the cost of repair or replacement parts normal ground shipping charges and labor providing service is provided within the warranty period and by an authorized HOIST Fitness service agent.,LCD Membrane,14,0,0,http://www.hoistfitness.com/content/files/salessheet/lemond_rt_salessheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,Walk-Through,Yes,Adjustable seat angle unique mesh seat back and anatomically formed seat base allow for maximum comfort. Five different recline positions target more muscle groups for a full lower body workout,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
ADW5,simple,publish,,http://www.inspirefitness.net/catalog/images/5lbweight_450.jpg,http://www.inspirefitness.net/catalog/images/5lbweight_stack450.jpg,,,,,,,,,,,Light Commercial,Strength,Accessories,,,Inspire Fitness,5lb Add-on Weight,10,$29.95,$29.95,,,,,,,x,,x,,,x,,x,,in.,,,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
HRTS,simple,publish,,http://www.inspirefitness.net/catalog/images/inspire_hrm_450.jpg,,,,,,,,,,,,Light Commercial,Strength,Accessories,,,Inspire Fitness,Heart Rate Strap,15,$39.95,$39.95,,,,,,,x,,x,,,x,,x,,in.,,,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
FT2-LK,simple,publish,,,,,,,,,,,,,,Light Commercial,Strength,Accessories,,,Inspire Fitness,FT2 Leg Ext.Converson Kit,20,$49.95,$49.95,,,,,,,x,,x,,,x,,x,,in.,,,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
CBA1,simple,publish,,http://www.inspirefitness.net/catalog/images/EzCurlBar.jpg,,,,,,,,,,,,Light Commercial,Strength,Accessories,,,Inspire Fitness,Aluminum Curl Bar,30,$89.95,$89.95,,,,,"23"" Aluminum EZ Curl Bar: 3/16"" wall 1-1/4"" diameter tubular anodized aluminum with knurled grips.",23,x,,x,,23,x,,x,,in.,,,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
SCS-PC,simple,publish,,http://www.inspirefitness.net/catalog/images/PreacherCurl_450_2.jpg,http://www.inspirefitness.net/catalog/images/FIDBench_PreacherCurl_Bench_450_2.jpg,,,,,,,,,,,Light Commercial,Strength,Accessories,,,Inspire Fitness,Preacher Curl Attachment,40,$99.00,$99.00,,,,,,,x,,x,,,x,,x,,in.,,,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,,,,,
SH2,simple,publish,,http://www.inspirefitness.net/catalog/images/black_shroud.jpg,http://www.inspirefitness.net/catalog/images/Blue_shroud.jpg,http://www.inspirefitness.net/catalog/images/Blue_shroud.jpg,http://www.inspirefitness.net/catalog/images/tan_shroud.jpg,,,,,,,,,Light Commercial,Strength,Accessories,,,Inspire Fitness,Fabric Shrouds,40,$99.95,$99.95,,,,,Fabric Shrouds: Unique to Inspire this patented method of stretching heavy duty dense cloth or screen around templates quiets the machine and provides a fully surrounded protective cover for the weights.,,x,,x,,,x,,x,,in.,,,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,,,,,
ABB1,simple,publish,,http://www.inspirefitness.net/catalog/images/WomanFullAb_Color.jpg,http://www.inspirefitness.net/catalog/images/ManFullCrunch_Color.jpg,http://www.inspirefitness.net/catalog/images/Ab_bar_optional.jpg,,,,,,,,,,Light Commercial,Strength,Accessories,,,Inspire Fitness,Ab Bar,35,$99.95,$99.95,,,,,The Inspire Abdominal Bar offers 4 different concentrated abdominal exercises. The Abdominal Bar has contoured upholstered pads with closed cell foam for more comfort and resistance to moisture. Attaches to Inspire M2 M3 M4 multi gyms High Pulleys and Lat Attachments.,48,x,,x,,48,x,,x,,in.,,,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,http://www.fitnessexports.com/catalogs/InspireFitnessUK/index.html#30,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
LBA3,simple,publish,,http://www.inspirefitness.net/catalog/images/3_hole_lat_bar_450.jpg,,,,,,,,,,,,Light Commercial,Strength,Accessories,,,Inspire Fitness,Aluminum Lat Bar,35,$99.95,$99.95,,,,,"4' Aluminum Swivel Lat Bar: 3/16"" wall 1-1/4"" diameter tubular anodized aluminum with knurled grips.",4,x,,x,,4,x,,x,,ft.,,,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,,,,,
W5,simple,publish,,http://www.inspirefitness.net/catalog/images/DSC_0005.JPG,http://www.inspirefitness.net/catalog/images/DSC_0006.JPG,,,,,,,,,,,Light Commercial,Strength,Accessories,,,Inspire Fitness,Heave Stack Add-On,50,$129.95,$129.95,,,,,5 - 10lb weight plates to add 50lbs of weight to your Inspire Fitness Multigym or Functional Trainer.,,x,,x,,,x,,x,,in.,,,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
SCS-LE,simple,publish,,http://www.inspirefitness.net/catalog/images/LegExtension_450_b.jpg,http://www.inspirefitness.net/catalog/images/LegExtension_bench_450.jpg,,,,,,,,,,,Light Commercial,Strength,Accessories,,,Inspire Fitness,Leg Attachment,60,$139.00,$139.00,,,,,,20,x,20,x,32,20,x,20,x,32,in.,,,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
OPC,simple,publish,,http://www.inspirefitness.net/catalog/images/Black_Ribbed_Pad.jpg,http://www.inspirefitness.net/catalog/images/Blue_Ribbed_Pad.jpg,,http://www.inspirefitness.net/catalog/images/Burgundy_Ribbed_Pad.jpg,http://www.inspirefitness.net/catalog/images/Tan_Ribbed_Pad.jpg,,,,,,,,Light Commercial,Strength,Accessories,,,Inspire Fitness,Orthopedic Pads,50,$139.95,$139.95,,,,,Orthopedic Pads: Unique to Inspire this patented process uses a special density memory foam to provide comfortable even support.,,x,,x,,,x,,x,,in.,,,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
FT1U,simple,publish,,http://www.inspirefitness.net/catalog/images/FIDBench_PreacherCurl_Bench_450_2.jpg,,,,,,,,,,,,Light Commercial,Strength,Accessories,,,Inspire Fitness,FT1 Accessories kit,60,$149.95,$149.95,,,,,An assortment of attachments for use with Inspire Functional Trainers. It includes: straight bar curl bar tricep rope chin/dip belt sport handle andkle strap.,,x,,x,,,x,,x,,in.,,,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
PTV2,simple,publish,,http://www.inspirefitness.net/catalog/images/BumperPlateTree_02_450.jpg,http://www.inspirefitness.net/catalog/images/BumperPlateTree_03_450.jpg,http://www.inspirefitness.net/catalog/images/BumperPlateTree_01_450.jpg,,,,,,,,,,Light Commercial,Strength ,Free weight equipment,,,Inspire Fitness,Bumper Plate Tree,90,$199.00,$199.00,,,,,Designed to hold Olympic or Bumper plates plus two full sized Olympic bars,25,x,21,x,55,25,x,21,x,55,in.,50,lbs.,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
FLB1,simple,publish,,http://www.inspirefitness.net/catalog/images/FoldingBench311_450.jpg,http://www.inspirefitness.net/catalog/images/FoldingBench312_450.jpg,http://www.inspirefitness.net/catalog/images/FoldingBench316_450.jpg,http://www.inspirefitness.net/catalog/images/FoldingBench317_450.jpg,http://www.inspirefitness.net/catalog/images/FoldingBench318_450.jpg,,,,,,,,Light Commercial,Strength ,Free weight equipment,,,Inspire Fitness,Folding Bench ,90,$209.00,$209.00,,,,,,52,x,16,x,,52,x,16,x,,in.,,lbs.,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
DBRH,simple,publish,,http://www.inspirefitness.net/catalog/images/DumbellRack.jpg,,,,,,,,,,,,Light Commercial,Strength ,Free weight equipment,,,Inspire Fitness,3 Tier DumbbellRack,115,$269.00,$269.00,,,,,,53,x,19,x,34,53,x,19,x,34,in.,,lbs.,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,http://www.inspirefitness.net/downloads/FitnessManuals/InspireFitnessManual_DumbbellRack.pdf,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
VDB8,simple,publish,,http://www.inspirefitness.net/catalog/images/vertical_dumbell_rack_front_450.jpg,http://www.inspirefitness.net/catalog/images/vertical_dumbell_rack_side_450.jpg,,,,,,,,,,,Light Commercial,Strength ,Free weight equipment,,,Inspire Fitness,Vertical Bumbbell Rack,115,$269.00,$269.00,,,,,The Inspire Vertical Dumbbell Rack is ideal for a 5-40 lb. set of dumbbells. This rack fits in a small space to maximize your workout area.,16,x,20,x,52,16,x,20,x,52,in.,,lbs.,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
FIDB,simple,publish,,http://www.inspirefitness.net/catalog/images/FT1BenchIncline_nopad_450_2.jpg,,,,,,,,,,,,Light Commercial,Strength ,Free weight equipment,,,Inspire Fitness,FT1 Bench ,150,$329.00,$329.00,,,,,Get the most out of your Inspire FT1 functional trainer with this accompanying workout bench. Made of commercial-quality 11-gauge steel the FT1 bench adjusts from a flat position all the way up to a full 90 degrees letting you perform flat bench presses incline presses or shoulder presses. The bench is also equipped with heavy-duty contoured Naugahyde pads that support your body during the workout.,,x,,x,,,x,,x,,in.,,lbs.,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,http://www.inspirefitness.net/downloads/FitnessManuals/InspireFitness_FT1_BENCH_2011_Manual_72911.pdf,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
SCS-WB2,simple,publish,,http://www.inspirefitness.net/catalog/images/Inspire_SmithBench_450.jpg,http://www.inspirefitness.net/catalog/images/FIDBench_PreacherCurl_Bench_450_2.jpg,,,,,,,,,,,Light Commercial,Strength ,Free weight equipment,,,Inspire Fitness,SCS Bench,175,$399.00,$399.00,,,,,,72,x,26,x,,72,x,26,x,,in.,,lbs.,,,,,,,,,,,,,,,,,,,,,,Lifetime,Lifetime,,,,,,,,,http://www.inspirefitness.net/downloads/FitnessManuals/InspireFitnessManual_SCS-WB.pdf,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,instock,no,yes,no,no,catalog/search,taxable,standard
